tmc,date,epoch,travel_time_all_vehicles,travel_time_passenger_vehicles,travel_time_freight_trucks,state
120P17893,2017-01-01,162,2.53,2.53,,ny
120P17893,2017-01-25,196,1.52,1.52,,ny
120P17893,2017-01-26,171,1.42,1.42,,ny
120P17893,2017-02-11,174,1.63,1.63,,ny
120P17893,2017-02-18,103,1.9,1.9,,ny
120P17893,2017-02-24,82,0.71,0.71,,ny
120P17893,2017-03-05,233,1.42,1.42,,ny
120P17893,2017-03-22,242,1.63,1.63,,ny
120P17893,2017-03-24,97,0.91,0.91,,ny
120P17893,2017-04-06,276,1.08,1.08,,ny
120P17893,2017-05-03,193,2.53,2.53,,ny
120P17893,2017-05-06,195,0.84,0.84,,ny
120P17893,2017-05-08,100,7.59,7.59,,ny
120P17893,2017-05-12,124,1.08,1.08,,ny
120P17893,2017-05-14,207,1.2,1.2,,ny
120P17893,2017-05-17,121,0.99,0.99,,ny
120P17893,2017-05-28,151,0.81,0.81,,ny
120P17893,2017-06-11,205,5.69,5.69,,ny
120P17893,2017-06-12,138,1.04,1.04,,ny
120P17893,2017-06-23,156,1.08,1.08,,ny
120P17893,2017-08-03,133,3.25,3.25,,ny
120P17893,2017-08-06,94,1.14,1.14,,ny
120P17893,2017-08-13,215,1.27,1.27,,ny
120P17893,2017-08-14,138,1.63,1.63,,ny
120P17893,2017-08-16,228,1.14,1.14,,ny
120P17893,2017-08-22,85,1.34,1.34,,ny
120P17893,2017-08-24,130,3.25,3.25,,ny
120P17893,2017-09-02,61,1.14,1.14,,ny
120P17893,2017-09-04,148,0.99,0.99,,ny
120P17893,2017-09-13,76,1.2,1.2,,ny
120P17893,2017-09-13,144,1.52,1.52,,ny
120P17893,2017-09-14,98,7.59,7.59,,ny
120P17893,2017-09-22,74,5.69,5.69,,ny
120P17893,2017-10-31,169,1.2,1.2,,ny
120P17893,2017-12-06,63,4.55,4.55,,ny
120P17893,2017-12-30,192,0.88,0.88,,ny
120P17893,2017-11-21,193,4.55,4.55,,ny
120P17893,2017-11-26,219,0.76,0.76,,ny
120P17893,2018-01-03,109,1.34,1.34,,ny
120P17893,2018-01-05,93,4.55,4.55,,ny
120P17893,2018-01-09,209,7.59,7.59,,ny
120P17893,2018-01-12,107,1.2,1.2,,ny
120P17893,2018-01-30,73,4.55,4.55,,ny
120P17893,2018-02-20,65,1.08,1.08,,ny
120P17893,2018-02-26,230,0.91,0.91,,ny
120P17893,2018-03-14,74,1.34,1.34,,ny
120P17893,2018-03-15,184,1.75,1.75,,ny
120P17893,2018-03-26,109,0.79,0.79,,ny
120P17893,2018-03-29,86,1.34,1.34,,ny
