road_type,day_type,directionality,congestion_level,VPROFILE,hour,pct_hrly
Freeway,Weekday,AM_PEAK,Low,WDFLA,0,0.0072
Freeway,Weekday,AM_PEAK,Low,WDFLA,1,0.0051
Freeway,Weekday,AM_PEAK,Low,WDFLA,2,0.0048
Freeway,Weekday,AM_PEAK,Low,WDFLA,3,0.0057
Freeway,Weekday,AM_PEAK,Low,WDFLA,4,0.0125
Freeway,Weekday,AM_PEAK,Low,WDFLA,5,0.0373
Freeway,Weekday,AM_PEAK,Low,WDFLA,6,0.078
Freeway,Weekday,AM_PEAK,Low,WDFLA,7,0.0885
Freeway,Weekday,AM_PEAK,Low,WDFLA,8,0.0654
Freeway,Weekday,AM_PEAK,Low,WDFLA,9,0.0511
Freeway,Weekday,AM_PEAK,Low,WDFLA,10,0.0499
Freeway,Weekday,AM_PEAK,Low,WDFLA,11,0.0518
Freeway,Weekday,AM_PEAK,Low,WDFLA,12,0.0534
Freeway,Weekday,AM_PEAK,Low,WDFLA,13,0.0558
Freeway,Weekday,AM_PEAK,Low,WDFLA,14,0.0617
Freeway,Weekday,AM_PEAK,Low,WDFLA,15,0.0676
Freeway,Weekday,AM_PEAK,Low,WDFLA,16,0.0697
Freeway,Weekday,AM_PEAK,Low,WDFLA,17,0.0628
Freeway,Weekday,AM_PEAK,Low,WDFLA,18,0.0475
Freeway,Weekday,AM_PEAK,Low,WDFLA,19,0.0359
Freeway,Weekday,AM_PEAK,Low,WDFLA,20,0.0297
Freeway,Weekday,AM_PEAK,Low,WDFLA,21,0.0259
Freeway,Weekday,AM_PEAK,Low,WDFLA,22,0.0199
Freeway,Weekday,AM_PEAK,Low,WDFLA,23,0.0128
Freeway,Weekday,PM_PEAK,Low,WDFLP,0,0.0095
Freeway,Weekday,PM_PEAK,Low,WDFLP,1,0.0059
Freeway,Weekday,PM_PEAK,Low,WDFLP,2,0.0048
Freeway,Weekday,PM_PEAK,Low,WDFLP,3,0.005
Freeway,Weekday,PM_PEAK,Low,WDFLP,4,0.0082
Freeway,Weekday,PM_PEAK,Low,WDFLP,5,0.0201
Freeway,Weekday,PM_PEAK,Low,WDFLP,6,0.0428
Freeway,Weekday,PM_PEAK,Low,WDFLP,7,0.0555
Freeway,Weekday,PM_PEAK,Low,WDFLP,8,0.0489
Freeway,Weekday,PM_PEAK,Low,WDFLP,9,0.0454
Freeway,Weekday,PM_PEAK,Low,WDFLP,10,0.0483
Freeway,Weekday,PM_PEAK,Low,WDFLP,11,0.0524
Freeway,Weekday,PM_PEAK,Low,WDFLP,12,0.0547
Freeway,Weekday,PM_PEAK,Low,WDFLP,13,0.0583
Freeway,Weekday,PM_PEAK,Low,WDFLP,14,0.0692
Freeway,Weekday,PM_PEAK,Low,WDFLP,15,0.0869
Freeway,Weekday,PM_PEAK,Low,WDFLP,16,0.0973
Freeway,Weekday,PM_PEAK,Low,WDFLP,17,0.0845
Freeway,Weekday,PM_PEAK,Low,WDFLP,18,0.0569
Freeway,Weekday,PM_PEAK,Low,WDFLP,19,0.0411
Freeway,Weekday,PM_PEAK,Low,WDFLP,20,0.0344
Freeway,Weekday,PM_PEAK,Low,WDFLP,21,0.0301
Freeway,Weekday,PM_PEAK,Low,WDFLP,22,0.0235
Freeway,Weekday,PM_PEAK,Low,WDFLP,23,0.0163
Freeway,Weekday,AM_PEAK,Med,WDFMA,0,0.0073
Freeway,Weekday,AM_PEAK,Med,WDFMA,1,0.0051
Freeway,Weekday,AM_PEAK,Med,WDFMA,2,0.0044
Freeway,Weekday,AM_PEAK,Med,WDFMA,3,0.0053
Freeway,Weekday,AM_PEAK,Med,WDFMA,4,0.0116
Freeway,Weekday,AM_PEAK,Med,WDFMA,5,0.035
Freeway,Weekday,AM_PEAK,Med,WDFMA,6,0.0747
Freeway,Weekday,AM_PEAK,Med,WDFMA,7,0.0876
Freeway,Weekday,AM_PEAK,Med,WDFMA,8,0.0695
Freeway,Weekday,AM_PEAK,Med,WDFMA,9,0.0535
Freeway,Weekday,AM_PEAK,Med,WDFMA,10,0.0508
Freeway,Weekday,AM_PEAK,Med,WDFMA,11,0.0527
Freeway,Weekday,AM_PEAK,Med,WDFMA,12,0.0542
Freeway,Weekday,AM_PEAK,Med,WDFMA,13,0.0564
Freeway,Weekday,AM_PEAK,Med,WDFMA,14,0.061
Freeway,Weekday,AM_PEAK,Med,WDFMA,15,0.0664
Freeway,Weekday,AM_PEAK,Med,WDFMA,16,0.0679
