geolevel,geocode,geoname,state
MPO,02196800,Anchorage Metropolitan Area Transportation Solutions,ak
MPO,02200300,Fairbanks Metropolitan Area Transportation System,ak
MPO,01196401,Mobile Area Transportation Study,al
MPO,01196402,Gadsden-Etowah MPO,al
MPO,01197401,Tuscaloosa Area MPO,al
MPO,01197402,Shoals Area MPO,al
MPO,01197501,Montgomery MPO,al
MPO,01197502,Auburn - Opelika MPO,al
MPO,01197601,Huntsville MPO,al
MPO,01197602,Calhoun Area Metropolitan Planning Organization,al
MPO,01197700,Birmingham MPO,al
MPO,01198200,Decatur Area MPO,al
MPO,01198300,Southeast Wiregrass Area MPO,al
MPO,01201300,Eastern Shore MPO,al
MPO,12197000,Florida-Alabama Transportation Planning Organization,al
MPO,13196401,Columbus-Phenix City Metropolitan Planning Organization,al
MPO,05196400,Southeast Arkansas Regional Planning Commission,ar
MPO,05197300,Frontier MPO,ar
MPO,05197400,Metroplan,ar
MPO,05198200,Northwest Arkansas Regional Planning Commission,ar
MPO,05198300,West Memphis Area Transportation Study,ar
MPO,05200301,Tri-Lakes MPO,ar
MPO,05200302,Jonesboro MPO,ar
MPO,48197505,Texarkana MPO,ar
MPO,04197301,Maricopa Association of Governments,az
MPO,04197302,Pima Association of Governments,az
MPO,04198300,Yuma MPO,az
MPO,04199600,Flagstaff MPO,az
MPO,04200300,Central Yavapai MPO,az
MPO,04201301,Lake Havasu Metropolitan Planning Organization,az
MPO,04201302,Sierra Vista Metropolitan Planning Organization,az
MPO,04201303,Sun Corridor Metropolitan Planning Organization,az
MPO,06196600,Santa Barbara County Association of Governments,ca
MPO,06196700,Sacramento Area COG,ca
MPO,06196800,San Joaquin COG,ca
MPO,06197001,Metropolitan Transportation Commission,ca
MPO,06197002,Kern COG,ca
MPO,06197201,San Diego Association of Governments,ca
MPO,06197202,Fresno Council of Governments,ca
MPO,06197203,Stanislaus COG,ca
MPO,06197501,Southern California Association of Governments,ca
MPO,06197502,Association of Monterey Bay Area Governments,ca
MPO,06198000,Butte County Association of Governments,ca
MPO,06198100,Shasta Regional Transportation Agency,ca
MPO,06198200,Tulare County Association of Governments,ca
MPO,06198600,Merced County Association of Governments,ca
MPO,06199200,San Luis Obispo COG,ca
MPO,06200301,Kings County Association of Governments,ca
MPO,06200302,Madera County Transportation Commission,ca
MPO,32199800,Tahoe MPO,ca
MPO,08197701,Denver Regional COG,co
MPO,08197702,Pikes Peak Area COG,co
MPO,08197703,Pueblo Area COG MPO and TPR,co
MPO,08198200,Grand Valley Metropolitan Planning Organization,co
MPO,08198800,North Front Range MPO,co
MPO,09197401,South Central Regional COG,ct
MPO,09197402,Southeastern Connecticut COG,ct
MPO,09197501,Capital Region COG,ct
MPO,09197502,Naugatuck Valley Council of Governments,ct
MPO,09197504,Housatonic Valley MPO,ct
MPO,09198100,South Western MPO,ct
MPO,09198101,Greater Bridgeport / Valley MPO,ct
MPO,09201499,Lower Connecticut River Valley MPO,ct
MPO,36198201,NYMTC,ct
MPO,11196500,National Capital Region Transportation Planning Board,dc
MPO,10197100,Wilmington Area Planning Council,de
MPO,10199000,Dover / Kent County MPO,de
MPO,24200400,Salisbury-Wicomico MPO,de
MPO,12197000,Florida-Alabama Transportation Planning Organization,fl
MPO,12197600,Lee County MPO,fl
MPO,12197701,Miami-Dade MPO,fl
MPO,12197702,Broward MPO,fl
MPO,12197703,METROPLAN Orlando,fl
MPO,12197704,Hillsborough MPO,fl
MPO,12197705,River to Sea Transporation Planning Organization,fl
MPO,12197706,Capital Region Transportation Planning Agency,fl
MPO,12197801,Palm Beach MPO,fl
MPO,12197802,North Florida Transportation Planning Organization,fl
MPO,12197803,Pinellas County MPO,fl
MPO,12197804,Sarasota-Manatee MPO,fl
