Travel_Time_Code,County_Code,Mpo_Code
104-04098,36067,
104+04098,36023,
104-04099,36067,36196500
104+04099,36067,
104-04100,36067,36196500
104+04100,36067,36196500
104-04101,36067,36196500
104+04101,36067,36196500
104-04102,36067,36196500
104+04102,36067,36196500
104-04103,36067,36196500
104+04103,36067,36196500
104-04104,36067,36196500
104+04104,36067,36196500
104-04105,36067,36196500
104+04105,36067,36196500
104-04106,36067,36196500
104+04106,36067,36196500
104-04107,36067,36196500
104+04107,36067,36196500
104-04108,36067,36196500
104+04108,36067,36196500
104-04109,36067,36196500
104+04109,36067,36196500
104-04110,36067,36196500
104+04110,36067,36196500
104-04111,36067,36196500
104+04111,36067,36196500
104-04112,36067,36196500
104+04112,36067,36196500
104-04113,36067,36196500
104+04113,36067,36196500
104-04114,36067,36196500
104+04114,36067,36196500
104-04115,36067,36196500
104+04115,36067,36196500
104-04116,36067,36196500
104+04116,36067,36196500
104-04117,36067,36196500
104+04117,36067,36196500
104-04118,36067,36196500
104+04118,36067,36196500
104-04119,36067,36196500
104+04119,36067,36196500
104-04120,36067,36196500
104+04120,36067,36196500
104-04121,36067,36196500
104+04121,36067,36196500
104-04122,36067,36196500
104+04122,36067,36196500
104-04123,36067,36196500
104+04123,36067,36196500
104-04124,36067,36196500
104+04124,36067,36196500
104-04125,36075,36196500
104+04125,36067,36196500
104-04126,36067,
104+04126,36011,
104-04127,36067,36196500
104+04127,36067,
104-04128,36067,36196500
104+04128,36067,36196500
104-04129,36067,36196500
104+04129,36067,36196500
104-04130,36067,36196500
104+04130,36067,36196500
104-04131,36067,36196500
104+04131,36067,36196500
104-04132,36067,36196500
104+04132,36067,36196500
104-04133,36053,36196500
104+04133,36067,36196500
104-04134,36067,36196500
104-04135,36067,36196500
104-04136,36067,36196500
104+04136,36067,36196500
104-04137,36067,36196500
104+04137,36067,36196500
104-04138,36067,36196500
104+04138,36067,36196500
104-04139,36067,36196500
104+04139,36067,36196500
104-04140,36067,36196500
104+04140,36067,36196500
104-04141,36067,36196500
104+04141,36067,36196500
104-04142,36067,36196500
104+04142,36067,36196500
104-04143,36067,36196500
104+04143,36067,36196500
104-04144,36067,36196500
104+04144,36067,36196500
104+04145,36067,36196500
104-04146,36067,36196500
104-04147,36067,36196500
104+04147,36067,36196500
104-04148,36067,36196500
104+04148,36067,36196500
104-04149,36067,36196500
104+04149,36067,36196500
104-04150,36067,36196500
104+04150,36067,36196500
104-04151,36067,36196500
104+04151,36067,36196500
104-04152,36067,36196500
104+04152,36067,36196500
104-04153,36067,36196500
104+04153,36067,36196500
104-04154,36067,36196500
104+04154,36067,36196500
104-04155,36067,36196500
104+04155,36067,36196500
104-04156,36067,36196500
104+04156,36067,36196500
104-04157,36067,36196500
104+04157,36067,36196500
104-04158,36067,36196500
104+04158,36067,36196500
104-04159,36067,36196500
104+04159,36067,36196500
104-04160,36067,36196500
104+04160,36067,36196500
104-04161,36067,36196500
104+04161,36067,36196500
104-04162,36067,36196500
104+04162,36067,36196500
104-04163,36067,36196500
104+04163,36067,36196500
104+04164,36067,36196500
