tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
104-04098,1.02941,1.02941,1.02941,1.02941
104+04098,1,1,1,1
104-04099,1.03318,1.03302,1.03756,1.04265
104+04099,1.02857,1.02857,1.02857,1.04286
104-04100,1.04895,1.04861,1.05517,1.07042
104+04100,1.02857,1.02857,1.02857,1.0381
104-04101,1,1,1,1
104+04101,1.03704,1.02963,1.02963,1.03731
104-04102,1.04594,1.0386,1.04561,1.06429
104+04102,1.1,1.1,1.1,1.1
104-04103,1.02532,1.02532,1.03165,1.03822
104+04103,1.02804,1.02804,1.02791,1.03738
104-04104,1.05,1.05,1.05,1.10526
104+04104,1.02924,1.02924,1.02907,1.03509
104-04105,1.09091,1.09091,1.09091,1.09091
104+04105,1.05263,1.05263,1.05263,1.05263
104-04106,1.04082,1.04167,1.0625,1.06383
104+04106,1.03704,1.03704,1.03704,1.03704
104-04107,1.4,1.2,1.4,1.2
104+04107,1.06977,1.02326,1.04651,1.04762
104-04108,1.43478,1.09091,1.13636,1.14286
104+04108,1.14286,1.14286,1.14286,1
104-04109,1.33333,1.05714,1.08571,1.08824
104+04109,1.0625,1.0625,1.05882,1.0625
104-04110,,,,
104+04110,1.05556,1.05405,1.08108,1.08333
104-04111,1.4,1,1,1
104+04111,,,,
104-04112,,,,
104+04112,1,1,1,1
104-04113,1.22222,1,1,1.125
104+04113,1,1,1,1
104-04114,1.13333,1.06667,1.06667,1.06667
104+04114,1.125,1,1,1.125
104-04115,1,1,1.2,1.2
104+04115,1,1,1,1
104-04116,1.10714,1.07143,1.07143,1.11111
104+04116,1,1,1,1
104-04117,1.25,1.25,1.25,1.25
104+04117,1.07407,1.07692,1.11538,1.07692
104-04118,1.08163,1.08163,1.08163,1.1087
104+04118,1.125,1.125,1.25,1.28571
104-04119,1.0625,1.05882,1.0625,1.0625
104+04119,1.08696,1.08889,1.13333,1.11628
104-04120,1.05,1.05,1.05,1.05263
104+04120,1.07143,1.07143,1.07143,1.07143
104-04121,1.06818,1.04444,1.04545,1.06977
104+04121,1,1,1,1
104-04122,1.04808,1.03774,1.03774,1.04808
104+04122,1.04762,1.04762,1.07317,1.07317
104-04123,1.04145,1.02525,1.03046,1.04615
104+04123,1.05102,1.05155,1.04124,1.05208
104-04124,1,1,1,1
104+04124,1.02899,1.03415,1.03431,1.04412
104-04125,,,,
104+04125,1.33333,1.33333,1.33333,1.33333
104-04126,1.0148,1.0148,1.01645,1.02632
104+04126,1,1,1,1
104-04127,1.02105,1.01579,1.02083,1.02632
104+04127,1.01974,1.01473,1.01629,1.02117
104-04128,1.04211,1.04211,1.0625,1.05319
104+04128,1.0303,1.02424,1.03049,1.0303
104-04129,1.06897,1.06897,1.06897,1.10714
104+04129,1.04255,1.03191,1.04301,1.04301
104-04130,1.03774,1.02844,1.03302,1.03333
104+04130,1.06977,1.04651,1.06977,1.07143
104-04131,1.04598,1.03448,1.04598,1.03448
104+04131,1.0398,1.03,1.04,1.045
104-04132,1.02286,1.02273,1.0226,1.03409
104+04132,1.04444,1.03371,1.04494,1.04494
104-04133,1,1,1,1
104+04133,1.02646,1.02116,1.03175,1.03158
104-04134,1,1,1,1
104-04135,1.05263,1.05263,1.05263,1.05263
104-04136,1.04673,1.03704,1.04717,1.0566
104+04136,1.08333,1.04167,1.04167,1.04
104-04137,1.04054,1.04,1.05405,1.05405
104+04137,1.03846,1.03883,1.03883,1.04808
104-04138,1.06122,1.06122,1.08333,1.08333
104+04138,1.0597,1.06061,1.06061,1.06061
104-04139,1.06522,1.06522,1.06522,1.06667
104+04139,1.05085,1.05,1.05,1.0678
104-04140,1.08163,1.06,1.1,1.12245
104+04140,1.05357,1.03571,1.05455,1.07273
104-04141,1.11538,1.11321,1.18182,1.2
104+04141,1.1,1.08163,1.10417,1.12245
104-04142,1.05556,1.05556,1.06993,1.08451
104+04142,1.125,1.10909,1.12963,1.15789
104-04143,1.07547,1.07547,1.09259,1.1
104+04143,1.04138,1.04138,1.04861,1.05517
104-04144,1.13333,1.0625,1.13333,1.125
104+04144,1.08511,1.06522,1.06522,1.08696
104+04145,1.11111,1.11111,1.11111,1.11111
104-04146,1.08333,1.08696,1.13636,1.13636
104-04147,1,1,1,1
