tmc,db_am_peak,db_midday,db_pm_peak,db_weekend,js_am_peak,js_midday,js_pm_peak,js_weekend,am_peak_diff,off_peak_diff,pm_peak_diff,pm_peak_diff
120P16573,4.0,3.0,2.0,7.0,3.0,272.6,18.0,38.0,1.0,-269.6,-16.0,-31.0
120N15611,1.0,1.0,1.0,2.0,1.0,1.0,1.0,146.0,0.0,0.0,0.0,-144.0
104N09739,2.8,2.5,2.6667,2.8333,1.5,1.5,1.5,142.0,1.3,1.0,1.1667,-139.1667
120+14457,1.0,2.0,2.0,2.0,1.0,2.0,2.0,130.0,0.0,0.0,0.0,-128.0
120N19052,1.3333,1.4444,1.4444,1.4444,1.29,0.01,12.46,118.0,0.0433,1.4344,-11.0156,-116.5556
120P04437,2.0,2.0,3.0,1.0,96.6,13.0,24.0,1.0,-94.6,-11.0,-21.0,0.0
120P11871,32.0,14.0,14.0,28.0,73.8,1.98,0.28,23.0,-41.8,12.02,13.72,5.0
120P16192,1.7857,1.8571,2.1429,2.2,3.36,0.35,37.11,3.63,-1.5743,1.5071,-34.9671,-1.43
120+12159,1.1892,1.2867,4.6704,1.1756,1.19,1.27,32.37,1.2,-0.0008,0.0167,-27.6995,-0.0244
120+19145,2.4348,2.3985,26.3529,3.0,1.77,1.75,0.02,0.02,0.6648,0.6485,26.3329,2.98
120N10477,1.4667,1.6,1.7778,1.8571,1.61,1.74,0.18,26.5,-0.1433,-0.14,1.5978,-24.6429
120N11871,1.8846,1.96,2.2,25.0,21.5,21.5,23.0,0.41,-19.6154,-19.54,-20.8,24.59
120N09298,1.5,1.75,1.875,2.125,2.33,26.0,0.21,0.21,-0.83,-24.25,1.665,1.915
120P14328,3.0,1.5,2.0,2.0,27.0,1.5,1.5,1.5,-24.0,0.0,0.5,0.5
120P15828,3.0,1.5,2.0,1.5,27.0,1.0,1.5,1.5,-24.0,0.5,0.5,0.0
120-11028,1.641,1.481,1.6939,1.5217,0.31,0.14,25.33,1.39,1.331,1.341,-23.6361,0.1317
120P18196,2.0,3.0,3.0,3.0,2.0,3.0,3.0,26.6,0.0,0.0,0.0,-23.6
120N18702,1.5,1.5,3.0,2.0,1.03,1.0,26.0,1.5,0.47,0.5,-23.0,0.5
120P07370,2.0,1.5,1.5,3.0,2.0,0.11,1.5,26.0,0.0,1.39,0.0,-23.0
104P07308,2.0,2.0,2.5,4.0,0.25,0.16,2.0,25.0,1.75,1.84,0.5,-21.0
120-04983,1.0,3.0,2.0,3.0,1.0,24.0,1.5,22.0,0.0,-21.0,0.5,-19.0
120N05361,2.0,1.0,3.0,2.0,1.5,1.0,24.0,2.0,0.5,0.0,-21.0,0.0
120P04882,3.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,-21.0,0.0,0.0,0.0
120P14199,2.0,3.0,3.0,3.0,2.0,20.0,2.0,24.0,0.0,-17.0,1.0,-21.0
120P16115,1.5833,1.6923,1.5714,1.6923,0.3,22.0,2.1,0.27,1.2833,-20.3077,-0.5286,1.4223
