bin,cattlab_pct,avail_pct
0,0.0043319931,0.003714
1,0.0039258688,0.00346
2,0.0035197444,0.003133
3,0.0031948449,0.002807
4,0.0028699454,0.002545
5,0.0027074957,0.00233
6,0.002490896,0.002141
7,0.0023284463,0.001974
8,0.0021659966,0.001825
9,0.0019223219,0.00169
10,0.0016786473,0.001576
11,0.0015161976,0.001496
12,0.0013537479,0.001462
13,0.0013537479,0.001466
14,0.001272523,0.001509
15,0.001272523,0.001599
16,0.001272523,0.00174
17,0.0014349727,0.001928
18,0.0015974225,0.002164
19,0.0018410971,0.002457
20,0.0020847717,0.002818
21,0.0024096712,0.003271
22,0.0028699454,0.003783
23,0.0033572947,0.004298
24,0.0040070936,0.004767
25,0.0043319931,0.005192
26,0.0047922674,0.005602
27,0.0051983917,0.006017
28,0.0057669658,0.006455
29,0.0060918653,0.006917
30,0.0064709147,0.00739
31,0.006958264,0.007865
32,0.0074456132,0.008332
33,0.0078517375,0.008794
34,0.0083120118,0.009253
35,0.0088805859,0.009713
36,0.0093679351,0.010174
37,0.0098282094,0.010648
38,0.0103155586,0.011121
39,0.0108029079,0.011576
40,0.0113714819,0.011996
41,0.0116693065,0.012394
42,0.0120754308,0.012766
43,0.0124815552,0.0131
44,0.0128876795,0.013384
45,0.013212579,0.013622
46,0.0135104036,0.013817
47,0.013835303,0.013968
48,0.0141602025,0.014069
49,0.0141602025,0.014102
50,0.0141602025,0.014089
51,0.0141602025,0.014072
52,0.0141602025,0.014088
53,0.0141602025,0.01413
54,0.0141602025,0.014182
55,0.0141602025,0.014234
56,0.0141602025,0.014278
57,0.0143226523,0.014322
58,0.0143226523,0.014361
59,0.0144038771,0.014386
60,0.014485102,0.014386
61,0.014485102,0.014372
62,0.014485102,0.014338
63,0.014485102,0.014271
64,0.014485102,0.014158
65,0.0144038771,0.014012
66,0.0142414274,0.013826
67,0.0140789776,0.013586
68,0.0139165279,0.013273
69,0.0135916284,0.012877
70,0.013212579,0.01242
71,0.0128876795,0.011935
72,0.0124815552,0.011445
73,0.0118317562,0.010919
74,0.0112902571,0.010376
75,0.0108029079,0.00986
76,0.0103155586,0.009413
77,0.0098282094,0.00903
78,0.0093679351,0.00869
79,0.0088805859,0.008377
80,0.0084744615,0.008084
81,0.0082307869,0.007826
82,0.0079871123,0.007591
83,0.0077705127,0.007352
84,0.0075268381,0.007084
85,0.0072831634,0.006787
86,0.0070394888,0.006477
87,0.0067958142,0.006166
88,0.0065521396,0.005861
89,0.0060918653,0.005557
90,0.005685741,0.005255
91,0.0053608415,0.004963
92,0.005035942,0.004682
93,0.0047922674,0.004392
94,0.0046298177,0.004114
95,0.0044673679,0.003886
96,0.0030323952,0.002291
97,0.0026262708,0.002121
98,0.0023013713,0.001903
99,0.0020035468,0.001689
100,0.0017869472,0.00152
101,0.0015703475,0.001379
102,0.0014620477,0.001259
103,0.0013537479,0.001169
104,0.0013537479,0.001112
105,0.001272523,0.001074
106,0.001272523,0.001068
107,0.0011642232,0.001125
108,0.0011642232,0.001265
109,0.001272523,0.00145
110,0.0013537479,0.001708
111,0.0014620477,0.0021
112,0.0015703475,0.00267
113,0.001895247,0.003378
114,0.0023013713,0.004238
115,0.0028428705,0.005309
116,0.0035738943,0.006676
117,0.0045215178,0.0085
118,0.0057669658,0.010552
119,0.0072560885,0.012467
120,0.0092325603,0.013936
121,0.0103967835,0.015072
122,0.0118588312,0.015949
123,0.0134291787,0.016524
124,0.0152161258,0.016734
125,0.0148100015,0.016472
126,0.0143768022,0.015893
127,0.013862378,0.015245
128,0.0135374785,0.014731
129,0.0130230543,0.014254
130,0.012589855,0.013789
131,0.0121837307,0.013411
132,0.0117505313,0.013187
133,0.0118588312,0.013119
134,0.011967131,0.013162
135,0.0120754308,0.01327
136,0.0122920305,0.013411
137,0.0125086301,0.013622
138,0.0128064547,0.013884
139,0.0131313542,0.01414
140,0.0134291787,0.014337
141,0.0136457783,0.014479
142,0.013862378,0.014596
143,0.0140789776,0.014715
144,0.0142685023,0.014851
145,0.0142685023,0.014973
146,0.0143768022,0.015105
147,0.014485102,0.015302
148,0.0145934018,0.015617
149,0.015107826,0.016069
150,0.0155410253,0.016605
151,0.0159471497,0.017155
152,0.0164886488,0.017668
153,0.0175445721,0.018184
154,0.0186817203,0.018693
155,0.0199542433,0.019143
156,0.0213079912,0.019496
157,0.0222556147,0.019784
158,0.023311538,0.019995
159,0.0243674613,0.020091
160,0.0255046095,0.020034
161,0.0255046095,0.019837
162,0.0255046095,0.01951
163,0.0256129093,0.019048
164,0.0257212092,0.018439
165,0.0232032382,0.017638
166,0.0209018668,0.016702
167,0.01889832,0.015724
168,0.0171113728,0.014776
169,0.0155410253,0.013788
170,0.0141872775,0.01279
171,0.0129147545,0.011877
172,0.0117505313,0.011134
173,0.0110195075,0.010557
174,0.0105050833,0.010097
175,0.0098823593,0.009707
176,0.0093408602,0.009356
177,0.0091242605,0.009089
178,0.0089347358,0.008878
179,0.0087181362,0.00865
180,0.0086098363,0.008345
181,0.0080954121,0.007981
182,0.0076622128,0.007577
183,0.0072560885,0.007131
184,0.0068228892,0.006637
185,0.0064167648,0.006076
186,0.0058752657,0.005473
187,0.0055774411,0.004867
188,0.0051442418,0.004285
189,0.0045215178,0.003671
190,0.0039800187,0.003069
191,0.0034655945,0.002571
192,0.0030323952,0.002291
193,0.0026262708,0.002121
194,0.0023013713,0.001903
195,0.0020035468,0.001689
196,0.0017869472,0.00152
197,0.0015703475,0.001379
198,0.0014620477,0.001259
199,0.0013537479,0.001169
200,0.0013537479,0.001112
201,0.001272523,0.001074
202,0.001272523,0.001068
203,0.0011642232,0.001125
204,0.0011642232,0.001265
205,0.001272523,0.00145
206,0.0013537479,0.001708
207,0.0014620477,0.0021
208,0.0015703475,0.00267
209,0.001895247,0.003378
210,0.0023013713,0.004238
211,0.0028428705,0.005309
212,0.0035738943,0.006676
213,0.0045215178,0.0085
214,0.0057669658,0.010552
215,0.0072560885,0.012467
216,0.0092325603,0.013936
217,0.0103967835,0.015072
218,0.0118588312,0.015949
219,0.0134291787,0.016524
220,0.0152161258,0.016734
221,0.0148100015,0.016472
222,0.0143768022,0.015893
223,0.013862378,0.015245
224,0.0135374785,0.014731
225,0.0130230543,0.014254
226,0.012589855,0.013789
227,0.0121837307,0.013411
228,0.0117505313,0.013187
229,0.0118588312,0.013119
230,0.011967131,0.013162
231,0.0120754308,0.01327
232,0.0122920305,0.013411
233,0.0125086301,0.013622
234,0.0128064547,0.013884
235,0.0131313542,0.01414
236,0.0134291787,0.014337
237,0.0136457783,0.014479
238,0.013862378,0.014596
239,0.0140789776,0.014715
240,0.0142685023,0.014851
