Bin,120P04340,,120N05397,,120+14882,,120-07060,,
0,160,0.0043319931,208,0.0039924757,28,0.0040328388,196,0.0043223217,Sun 12:00 AM
1,145,0.0039258688,192,0.0036853622,26,0.0037447789,178,0.0039253738,Sun 12:15 AM
2,130,0.0035197444,171,0.0032822757,23,0.003312689,160,0.0035284259,Sun 12:30 AM
3,118,0.0031948449,154,0.0029559676,21,0.0030246291,145,0.003197636,Sun 12:45 AM
4,106,0.0028699454,142,0.0027256325,19,0.0027365692,131,0.0028888987,Sun 01:00 AM
5,100,0.0027074957,129,0.0024761027,17,0.0024485093,123,0.0027124774,Sun 01:15 AM
6,92,0.002490896,117,0.0022457676,16,0.0023044793,112,0.0024698981,Sun 01:30 AM
7,86,0.0023284463,104,0.0019962379,14,0.0020164194,105,0.0023155295,Sun 01:45 AM
8,80,0.0021659966,96,0.0018426811,13,0.0018723895,98,0.0021611609,Sun 02:00 AM
9,71,0.0019223219,83,0.0015931514,11,0.0015843295,87,0.0019185816,Sun 02:15 AM
10,62,0.0016786473,75,0.0014395946,10,0.0014402996,76,0.0016760023,Sun 02:30 AM
11,56,0.0015161976,67,0.0012860379,9,0.0012962696,69,0.0015216337,Sun 02:45 AM
12,50,0.0013537479,58,0.0011132865,8,0.0011522397,62,0.001367265,Sun 03:00 AM
13,50,0.0013537479,58,0.0011132865,8,0.0011522397,62,0.001367265,Sun 03:15 AM
14,47,0.001272523,54,0.0010365081,7,0.0010082097,58,0.0012790544,Sun 03:30 AM
15,47,0.001272523,54,0.0010365081,7,0.0010082097,58,0.0012790544,Sun 03:45 AM
16,47,0.001272523,54,0.0010365081,7,0.0010082097,58,0.0012790544,Sun 04:00 AM
17,53,0.0014349727,58,0.0011132865,8,0.0011522397,65,0.001433423,Sun 04:15 AM
18,59,0.0015974225,67,0.0012860379,9,0.0012962696,73,0.0016098443,Sun 04:30 AM
19,68,0.0018410971,75,0.0014395946,10,0.0014402996,83,0.0018303709,Sun 04:45 AM
20,77,0.0020847717,83,0.0015931514,11,0.0015843295,94,0.0020729502,Sun 05:00 AM
21,89,0.0024096712,96,0.0018426811,13,0.0018723895,109,0.0024037401,Sun 05:15 AM
22,106,0.0028699454,117,0.0022457676,16,0.0023044793,131,0.0028888987,Sun 05:30 AM
23,124,0.0033572947,138,0.0026488541,18,0.0025925392,152,0.0033520046,Sun 05:45 AM
24,148,0.0040070936,163,0.003128719,22,0.0031686591,181,0.0039915318,Sun 06:00 AM
25,160,0.0043319931,179,0.0034358325,24,0.003456719,196,0.0043223217,Sun 06:15 AM
26,177,0.0047922674,204,0.0039156973,27,0.0038888089,218,0.0048074803,Sun 06:30 AM
27,192,0.0051983917,225,0.0043187838,30,0.0043208987,236,0.0052044282,Sun 06:45 AM
28,213,0.0057669658,254,0.0048754271,34,0.0048970186,261,0.0057557447,Sun 07:00 AM
29,225,0.0060918653,275,0.0052785136,37,0.0053291085,276,0.0060865346,Sun 07:15 AM
30,239,0.0064709147,300,0.0057583784,40,0.0057611983,294,0.0064834826,Sun 07:30 AM
31,257,0.006958264,325,0.0062382433,43,0.0061932882,316,0.0069686411,Sun 07:45 AM
32,275,0.0074456132,358,0.0068716649,48,0.006913438,337,0.007431747,Sun 08:00 AM
33,290,0.0078517375,388,0.0074475028,52,0.0074895578,356,0.0078507476,Sun 08:15 AM
34,307,0.0083120118,417,0.008004146,56,0.0080656777,377,0.0083138535,Sun 08:30 AM
35,328,0.0088805859,454,0.008714346,61,0.0087858275,403,0.0088872227,Sun 08:45 AM
36,346,0.0093679351,492,0.0094437406,66,0.0095059772,424,0.0093503286,Sun 09:00 AM
37,363,0.0098282094,521,0.0100003839,69,0.0099380671,446,0.0098354871,Sun 09:15 AM
38,381,0.0103155586,550,0.0105570271,73,0.010514187,468,0.0103206457,Sun 09:30 AM
39,399,0.0108029079,583,0.0111904488,78,0.0112343367,490,0.0108058043,Sun 09:45 AM
40,420,0.0113714819,617,0.011843065,82,0.0118104566,515,0.0113571208,Sun 10:00 AM
41,431,0.0116693065,638,0.0122461515,85,0.0122425464,530,0.0116879107,Sun 10:15 AM
42,446,0.0120754308,663,0.0127260164,88,0.0126746363,548,0.0120848586,Sun 10:30 AM
43,461,0.0124815552,688,0.0132058812,92,0.0132507562,566,0.0124818066,Sun 10:45 AM
44,476,0.0128876795,713,0.0136857461,95,0.013682846,584,0.0128787545,Sun 11:00 AM
45,488,0.013212579,734,0.0140888326,98,0.0141149359,599,0.0132095444,Sun 11:15 AM
46,499,0.0135104036,759,0.0145686975,101,0.0145470258,613,0.0135182817,Sun 11:30 AM
47,511,0.013835303,779,0.0149525894,104,0.0149791157,628,0.0138490716,Sun 11:45 AM
48,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 12:00 PM
49,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 12:15 PM
50,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 12:30 PM
51,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 12:45 PM
52,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 01:00 PM
53,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 01:15 PM
54,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 01:30 PM
55,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 01:45 PM
56,523,0.0141602025,800,0.0153556758,107,0.0154112055,642,0.0141578088,Sun 02:00 PM
57,529,0.0143226523,796,0.0152788975,106,0.0152671756,649,0.0143121775,Sun 02:15 PM
58,529,0.0143226523,796,0.0152788975,106,0.0152671756,649,0.0143121775,Sun 02:30 PM
59,532,0.0144038771,796,0.0152788975,106,0.0152671756,653,0.0144003881,Sun 02:45 PM
60,535,0.014485102,796,0.0152788975,106,0.0152671756,657,0.0144885988,Sun 03:00 PM
61,535,0.014485102,792,0.0152021191,106,0.0152671756,657,0.0144885988,Sun 03:15 PM
62,535,0.014485102,784,0.0150485623,104,0.0149791157,657,0.0144885988,Sun 03:30 PM
63,535,0.014485102,779,0.0149525894,104,0.0149791157,657,0.0144885988,Sun 03:45 PM
64,535,0.014485102,775,0.014875811,103,0.0148350857,657,0.0144885988,Sun 04:00 PM
65,532,0.0144038771,763,0.0146454758,102,0.0146910557,653,0.0144003881,Sun 04:15 PM
66,526,0.0142414274,746,0.0143191677,99,0.0142589659,646,0.0142460195,Sun 04:30 PM
67,520,0.0140789776,734,0.0140888326,98,0.0141149359,638,0.0140695982,Sun 04:45 PM
68,514,0.0139165279,721,0.0138393029,96,0.013826876,631,0.0139152296,Sun 05:00 PM
69,502,0.0135916284,696,0.013359438,93,0.0133947861,617,0.0136064923,Sun 05:15 PM
70,488,0.013212579,671,0.0128795731,89,0.0128186663,599,0.0132095444,Sun 05:30 PM
71,476,0.0128876795,650,0.0124764866,87,0.0125306064,584,0.0128787545,Sun 05:45 PM
72,461,0.0124815552,629,0.0120734001,84,0.0120985165,566,0.0124818066,Sun 06:00 PM
73,437,0.0118317562,604,0.0115935353,81,0.0116664266,537,0.0118422794,Sun 06:15 PM
74,417,0.0112902571,579,0.0111136704,77,0.0110903068,512,0.0112909628,Sun 06:30 PM
75,399,0.0108029079,554,0.0106338055,74,0.0106582169,490,0.0108058043,Sun 06:45 PM
76,381,0.0103155586,529,0.0101539407,71,0.010226127,468,0.0103206457,Sun 07:00 PM
77,363,0.0098282094,504,0.0096740758,67,0.0096500072,446,0.0098354871,Sun 07:15 PM
78,346,0.0093679351,483,0.0092709893,64,0.0092179173,424,0.0093503286,Sun 07:30 PM
79,328,0.0088805859,463,0.0088870974,62,0.0089298574,403,0.0088872227,Sun 07:45 PM
80,313,0.0084744615,442,0.0084840109,59,0.0084977675,385,0.0084902748,Sun 08:00 PM
81,304,0.0082307869,425,0.0081577028,57,0.0082097076,374,0.0082476955,Sun 08:15 PM
82,295,0.0079871123,408,0.0078313947,54,0.0077776177,363,0.0080051162,Sun 08:30 PM
83,287,0.0077705127,396,0.0076010595,53,0.0076335878,352,0.0077625369,Sun 08:45 PM
84,278,0.0075268381,383,0.0073515298,51,0.0073455279,341,0.0075199577,Sun 09:00 PM
85,269,0.0072831634,363,0.0069676379,48,0.006913438,330,0.0072773784,Sun 09:15 PM
86,260,0.0070394888,342,0.0065645514,46,0.0066253781,319,0.0070347991,Sun 09:30 PM
87,251,0.0067958142,325,0.0062382433,43,0.0061932882,308,0.0067922198,Sun 09:45 PM
88,242,0.0065521396,308,0.0059119352,41,0.0059052283,297,0.0065496405,Sun 10:00 PM
89,225,0.0060918653,288,0.0055280433,38,0.0054731384,276,0.0060865346,Sun 10:15 PM
90,210,0.005685741,271,0.0052017352,36,0.0051850785,258,0.0056895867,Sun 10:30 PM
91,198,0.0053608415,250,0.0047986487,33,0.0047529886,243,0.0053587968,Sun 10:45 PM
92,186,0.005035942,238,0.0045683136,32,0.0046089587,229,0.0050500595,Sun 11:00 PM
93,177,0.0047922674,229,0.0043955622,31,0.0044649287,218,0.0048074803,Sun 11:15 PM
94,171,0.0046298177,221,0.0042420055,29,0.0041768688,210,0.004631059,Sun 11:30 PM
95,165,0.0044673679,217,0.0041652271,29,0.0041768688,203,0.0044766903,Sun 11:45 PM
96,112,0.0030323952,131,0.0025144919,17,0.0024485093,138,0.0030432673,Mon 12:00 AM
97,97,0.0026262708,115,0.0022073784,15,0.0021604494,124,0.0027345301,Mon 12:15 AM
98,85,0.0023013713,98,0.0018810703,13,0.0018723895,114,0.0025140034,Mon 12:30 AM
99,74,0.0020035468,88,0.0016891243,12,0.0017283595,100,0.0022052662,Mon 12:45 AM
100,66,0.0017869472,77,0.0014779838,10,0.0014402996,90,0.0019847396,Mon 01:00 AM
101,58,0.0015703475,71,0.0013628162,9,0.0012962696,86,0.0018965289,Mon 01:15 AM
