bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
0,171.476,0.005,220.911,0.004,29.440,0.004,192.281,0.004,Sun 12:00 AM
1,159.723,0.004,205.360,0.004,27.368,0.004,178.745,0.004,Sun 12:15 AM
2,144.632,0.004,185.344,0.004,24.700,0.004,161.323,0.004,Sun 12:30 AM
3,129.588,0.004,165.067,0.003,21.998,0.003,143.674,0.003,Sun 12:45 AM
4,117.503,0.003,148.109,0.003,19.738,0.003,128.914,0.003,Sun 01:00 AM
5,107.583,0.003,133.225,0.003,17.755,0.003,115.959,0.003,Sun 01:15 AM
6,98.837,0.003,119.492,0.002,15.924,0.002,104.006,0.002,Sun 01:30 AM
7,91.125,0.002,107.291,0.002,14.298,0.002,93.386,0.002,Sun 01:45 AM
8,84.266,0.002,96.907,0.002,12.915,0.002,84.348,0.002,Sun 02:00 AM
9,78.009,0.002,88.066,0.002,11.736,0.002,76.653,0.002,Sun 02:15 AM
10,72.746,0.002,80.893,0.002,10.780,0.002,70.409,0.002,Sun 02:30 AM
11,69.082,0.002,75.756,0.001,10.096,0.001,65.938,0.001,Sun 02:45 AM
12,67.498,0.002,72.927,0.001,9.719,0.001,63.475,0.001,Sun 03:00 AM
13,67.690,0.002,72.041,0.001,9.601,0.001,62.704,0.001,Sun 03:15 AM
14,69.677,0.002,73.333,0.001,9.773,0.001,63.829,0.001,Sun 03:30 AM
15,73.810,0.002,77.366,0.001,10.310,0.001,67.339,0.001,Sun 03:45 AM
16,80.329,0.002,84.612,0.002,11.276,0.002,73.646,0.002,Sun 04:00 AM
17,89.001,0.002,94.850,0.002,12.640,0.002,82.557,0.002,Sun 04:15 AM
18,99.919,0.003,108.025,0.002,14.396,0.002,94.025,0.002,Sun 04:30 AM
19,113.430,0.003,124.316,0.002,16.567,0.002,108.205,0.002,Sun 04:45 AM
20,130.087,0.004,144.098,0.003,19.204,0.003,125.423,0.003,Sun 05:00 AM
21,151.033,0.004,168.115,0.003,22.404,0.003,146.327,0.003,Sun 05:15 AM
22,174.674,0.005,195.326,0.004,26.031,0.004,170.011,0.004,Sun 05:30 AM
23,198.453,0.005,224.001,0.004,29.852,0.004,194.970,0.004,Sun 05:45 AM
24,220.067,0.006,252.618,0.005,33.666,0.005,219.878,0.005,Sun 06:00 AM
25,239.712,0.006,281.381,0.005,37.499,0.005,244.914,0.005,Sun 06:15 AM
26,258.638,0.007,311.046,0.006,41.452,0.006,270.734,0.006,Sun 06:30 AM
27,277.792,0.008,342.075,0.007,45.588,0.007,297.742,0.007,Sun 06:45 AM
28,298.024,0.008,374.928,0.007,49.966,0.007,326.337,0.007,Sun 07:00 AM
29,319.336,0.009,409.673,0.008,54.596,0.008,356.578,0.008,Sun 07:15 AM
30,341.186,0.009,445.948,0.009,59.431,0.009,388.153,0.009,Sun 07:30 AM
31,363.099,0.010,483.370,0.009,64.418,0.009,420.725,0.009,Sun 07:45 AM
32,384.669,0.010,521.751,0.010,69.533,0.010,454.131,0.010,Sun 08:00 AM
33,405.980,0.011,561.830,0.011,74.874,0.011,489.016,0.011,Sun 08:15 AM
34,427.210,0.012,602.935,0.012,80.352,0.012,524.794,0.012,Sun 08:30 AM
35,448.411,0.012,643.718,0.012,85.787,0.012,560.291,0.012,Sun 08:45 AM
36,469.737,0.013,683.145,0.013,91.041,0.013,594.608,0.013,Sun 09:00 AM
37,491.595,0.013,722.115,0.014,96.235,0.014,628.527,0.014,Sun 09:15 AM
38,513.452,0.014,760.318,0.015,101.326,0.015,661.780,0.015,Sun 09:30 AM
39,534.431,0.014,796.610,0.015,106.163,0.015,693.368,0.015,Sun 09:45 AM
40,553.840,0.015,830.041,0.016,110.618,0.016,722.466,0.016,Sun 10:00 AM
41,572.193,0.015,861.143,0.017,114.763,0.017,749.538,0.017,Sun 10:15 AM
42,589.379,0.016,889.948,0.017,118.602,0.017,774.609,0.017,Sun 10:30 AM
43,604.780,0.016,915.982,0.018,122.071,0.018,797.269,0.018,Sun 10:45 AM
44,617.892,0.017,938.910,0.018,125.127,0.018,817.226,0.018,Sun 11:00 AM
45,628.895,0.017,959.270,0.018,127.840,0.018,834.947,0.018,Sun 11:15 AM
46,637.922,0.017,976.697,0.019,130.163,0.019,850.115,0.019,Sun 11:30 AM
47,644.891,0.017,990.326,0.019,131.979,0.019,861.978,0.019,Sun 11:45 AM
48,649.560,0.018,999.104,0.019,133.149,0.019,869.618,0.019,Sun 12:00 PM
49,651.041,0.018,1001.907,0.019,133.522,0.019,872.058,0.019,Sun 12:15 PM
50,650.453,0.018,1000.615,0.019,133.350,0.019,870.933,0.019,Sun 12:30 PM
51,649.678,0.018,998.125,0.019,133.018,0.019,868.766,0.019,Sun 12:45 PM
52,650.405,0.018,996.880,0.019,132.852,0.019,867.682,0.019,Sun 01:00 PM
53,652.363,0.018,996.223,0.019,132.765,0.019,867.111,0.019,Sun 01:15 PM
54,654.771,0.018,995.311,0.019,132.643,0.019,866.317,0.019,Sun 01:30 PM
55,657.161,0.018,994.045,0.019,132.475,0.019,865.215,0.019,Sun 01:45 PM
56,659.177,0.018,992.483,0.019,132.266,0.019,863.855,0.019,Sun 02:00 PM
57,661.201,0.018,991.222,0.019,132.098,0.019,862.758,0.019,Sun 02:15 PM
58,663.041,0.018,989.586,0.019,131.880,0.019,861.334,0.019,Sun 02:30 PM
59,664.164,0.018,986.325,0.019,131.446,0.019,858.495,0.019,Sun 02:45 PM
60,664.167,0.018,980.401,0.019,130.656,0.019,853.339,0.019,Sun 03:00 PM
61,663.521,0.018,972.321,0.019,129.579,0.019,846.306,0.019,Sun 03:15 PM
62,661.973,0.018,962.198,0.018,128.230,0.018,837.495,0.018,Sun 03:30 PM
63,658.845,0.018,949.648,0.018,126.558,0.018,826.571,0.018,Sun 03:45 PM
64,653.645,0.018,934.315,0.018,124.514,0.018,813.226,0.018,Sun 04:00 PM
65,646.889,0.018,916.149,0.018,122.093,0.018,797.414,0.018,Sun 04:15 PM
66,638.335,0.017,895.434,0.017,119.333,0.017,779.384,0.017,Sun 04:30 PM
67,627.229,0.017,872.459,0.017,116.271,0.017,759.387,0.017,Sun 04:45 PM
68,612.791,0.017,847.285,0.016,112.916,0.016,737.476,0.016,Sun 05:00 PM
69,594.494,0.016,819.074,0.016,109.156,0.016,712.921,0.016,Sun 05:15 PM
70,573.408,0.016,788.701,0.015,105.109,0.015,686.484,0.015,Sun 05:30 PM
71,551.015,0.015,757.776,0.015,100.987,0.015,659.567,0.015,Sun 05:45 PM
72,528.374,0.014,727.585,0.014,96.964,0.014,633.289,0.014,Sun 06:00 PM
73,504.104,0.014,697.175,0.013,92.911,0.013,606.820,0.013,Sun 06:15 PM
74,479.029,0.013,666.761,0.013,88.858,0.013,580.347,0.013,Sun 06:30 PM
75,455.236,0.012,637.497,0.012,84.958,0.012,554.876,0.012,Sun 06:45 PM
