bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
0,137.181,0.004,176.729,0.003,23.552,0.003,153.825,0.003,Sun 12:00 AM
1,127.779,0.003,164.288,0.003,21.894,0.003,142.996,0.003,Sun 12:15 AM
2,115.705,0.003,148.275,0.003,19.760,0.003,129.058,0.003,Sun 12:30 AM
3,103.671,0.003,132.054,0.003,17.599,0.003,114.939,0.003,Sun 12:45 AM
4,94.003,0.003,118.488,0.002,15.791,0.002,103.131,0.002,Sun 01:00 AM
5,86.066,0.002,106.580,0.002,14.204,0.002,92.767,0.002,Sun 01:15 AM
6,79.069,0.002,95.594,0.002,12.740,0.002,83.204,0.002,Sun 01:30 AM
7,72.900,0.002,85.832,0.002,11.439,0.002,74.708,0.002,Sun 01:45 AM
8,67.413,0.002,77.526,0.001,10.332,0.001,67.478,0.001,Sun 02:00 AM
9,62.407,0.002,70.453,0.001,9.389,0.001,61.322,0.001,Sun 02:15 AM
10,58.197,0.002,64.714,0.001,8.624,0.001,56.327,0.001,Sun 02:30 AM
11,55.266,0.001,60.605,0.001,8.077,0.001,52.750,0.001,Sun 02:45 AM
12,53.998,0.001,58.341,0.001,7.775,0.001,50.780,0.001,Sun 03:00 AM
13,54.152,0.001,57.633,0.001,7.681,0.001,50.164,0.001,Sun 03:15 AM
14,55.742,0.002,58.667,0.001,7.818,0.001,51.063,0.001,Sun 03:30 AM
15,59.048,0.002,61.892,0.001,8.248,0.001,53.871,0.001,Sun 03:45 AM
16,64.263,0.002,67.690,0.001,9.021,0.001,58.917,0.001,Sun 04:00 AM
17,71.201,0.002,75.880,0.001,10.112,0.001,66.046,0.001,Sun 04:15 AM
18,79.935,0.002,86.420,0.002,11.517,0.002,75.220,0.002,Sun 04:30 AM
19,90.744,0.002,99.453,0.002,13.254,0.002,86.564,0.002,Sun 04:45 AM
20,104.070,0.003,115.278,0.002,15.363,0.002,100.338,0.002,Sun 05:00 AM
21,120.826,0.003,134.492,0.003,17.923,0.003,117.062,0.003,Sun 05:15 AM
22,139.739,0.004,156.261,0.003,20.825,0.003,136.009,0.003,Sun 05:30 AM
23,158.762,0.004,179.200,0.003,23.882,0.003,155.976,0.003,Sun 05:45 AM
24,176.053,0.005,202.094,0.004,26.933,0.004,175.903,0.004,Sun 06:00 AM
25,191.770,0.005,225.105,0.004,29.999,0.004,195.931,0.004,Sun 06:15 AM
26,206.910,0.006,248.837,0.005,33.162,0.005,216.587,0.005,Sun 06:30 AM
27,222.233,0.006,273.660,0.005,36.470,0.005,238.193,0.005,Sun 06:45 AM
28,238.420,0.006,299.943,0.006,39.973,0.006,261.070,0.006,Sun 07:00 AM
29,255.469,0.007,327.738,0.006,43.677,0.006,285.263,0.006,Sun 07:15 AM
30,272.949,0.007,356.759,0.007,47.545,0.007,310.522,0.007,Sun 07:30 AM
31,290.480,0.008,386.696,0.007,51.534,0.007,336.580,0.007,Sun 07:45 AM
32,307.735,0.008,417.401,0.008,55.626,0.008,363.305,0.008,Sun 08:00 AM
33,324.784,0.009,449.464,0.009,59.899,0.009,391.213,0.009,Sun 08:15 AM
34,341.768,0.009,482.348,0.009,64.282,0.009,419.835,0.009,Sun 08:30 AM
35,358.729,0.010,514.974,0.010,68.630,0.010,448.233,0.010,Sun 08:45 AM
36,375.789,0.010,546.516,0.010,72.833,0.010,475.687,0.010,Sun 09:00 AM
37,393.276,0.011,577.692,0.011,76.988,0.011,502.822,0.011,Sun 09:15 AM
38,410.762,0.011,608.255,0.012,81.061,0.012,529.424,0.012,Sun 09:30 AM
39,427.545,0.012,637.288,0.012,84.930,0.012,554.694,0.012,Sun 09:45 AM
40,443.072,0.012,664.033,0.013,88.494,0.013,577.973,0.013,Sun 10:00 AM
41,457.754,0.012,688.915,0.013,91.810,0.013,599.630,0.013,Sun 10:15 AM
42,471.503,0.013,711.959,0.014,94.881,0.014,619.688,0.014,Sun 10:30 AM
43,483.824,0.013,732.785,0.014,97.657,0.014,637.815,0.014,Sun 10:45 AM
44,494.314,0.013,751.128,0.014,100.101,0.014,653.780,0.014,Sun 11:00 AM
45,503.116,0.014,767.416,0.015,102.272,0.015,667.957,0.015,Sun 11:15 AM
46,510.337,0.014,781.357,0.015,104.130,0.015,680.092,0.015,Sun 11:30 AM
47,515.913,0.014,792.261,0.015,105.583,0.015,689.582,0.015,Sun 11:45 AM
48,519.648,0.014,799.283,0.015,106.519,0.015,695.695,0.015,Sun 12:00 PM
49,520.833,0.014,801.526,0.015,106.818,0.015,697.646,0.015,Sun 12:15 PM
50,520.363,0.014,800.492,0.015,106.680,0.015,696.747,0.015,Sun 12:30 PM
51,519.742,0.014,798.500,0.015,106.415,0.015,695.013,0.015,Sun 12:45 PM
52,520.324,0.014,797.504,0.015,106.282,0.015,694.146,0.015,Sun 01:00 PM
53,521.890,0.014,796.979,0.015,106.212,0.015,693.689,0.015,Sun 01:15 PM
54,523.817,0.014,796.249,0.015,106.115,0.015,693.054,0.015,Sun 01:30 PM
55,525.729,0.014,795.236,0.015,105.980,0.015,692.172,0.015,Sun 01:45 PM
56,527.342,0.014,793.986,0.015,105.813,0.015,691.084,0.015,Sun 02:00 PM
57,528.961,0.014,792.977,0.015,105.679,0.015,690.206,0.015,Sun 02:15 PM
