type,dow,ampmdifftxt,aadtc,VPROFILE,hour,pct_hrly
Fwy,WD,POS,Low,WDFLA,0,0.0072
Fwy,WD,POS,Low,WDFLA,1,0.0051
Fwy,WD,POS,Low,WDFLA,2,0.0048
Fwy,WD,POS,Low,WDFLA,3,0.0057
Fwy,WD,POS,Low,WDFLA,4,0.0125
Fwy,WD,POS,Low,WDFLA,5,0.0373
Fwy,WD,POS,Low,WDFLA,6,0.078
Fwy,WD,POS,Low,WDFLA,7,0.0885
Fwy,WD,POS,Low,WDFLA,8,0.0654
Fwy,WD,POS,Low,WDFLA,9,0.0511
Fwy,WD,POS,Low,WDFLA,10,0.0499
Fwy,WD,POS,Low,WDFLA,11,0.0518
Fwy,WD,POS,Low,WDFLA,12,0.0534
Fwy,WD,POS,Low,WDFLA,13,0.0558
Fwy,WD,POS,Low,WDFLA,14,0.0617
Fwy,WD,POS,Low,WDFLA,15,0.0676
Fwy,WD,POS,Low,WDFLA,16,0.0697
Fwy,WD,POS,Low,WDFLA,17,0.0628
Fwy,WD,POS,Low,WDFLA,18,0.0475
Fwy,WD,POS,Low,WDFLA,19,0.0359
Fwy,WD,POS,Low,WDFLA,20,0.0297
Fwy,WD,POS,Low,WDFLA,21,0.0259
Fwy,WD,POS,Low,WDFLA,22,0.0199
Fwy,WD,POS,Low,WDFLA,23,0.0128
Fwy,WD,NEG,Low,WDFLP,0,0.0095
Fwy,WD,NEG,Low,WDFLP,1,0.0059
Fwy,WD,NEG,Low,WDFLP,2,0.0048
Fwy,WD,NEG,Low,WDFLP,3,0.005
Fwy,WD,NEG,Low,WDFLP,4,0.0082
Fwy,WD,NEG,Low,WDFLP,5,0.0201
Fwy,WD,NEG,Low,WDFLP,6,0.0428
Fwy,WD,NEG,Low,WDFLP,7,0.0555
Fwy,WD,NEG,Low,WDFLP,8,0.0489
Fwy,WD,NEG,Low,WDFLP,9,0.0454
Fwy,WD,NEG,Low,WDFLP,10,0.0483
Fwy,WD,NEG,Low,WDFLP,11,0.0524
Fwy,WD,NEG,Low,WDFLP,12,0.0547
Fwy,WD,NEG,Low,WDFLP,13,0.0583
Fwy,WD,NEG,Low,WDFLP,14,0.0692
Fwy,WD,NEG,Low,WDFLP,15,0.0869
Fwy,WD,NEG,Low,WDFLP,16,0.0973
Fwy,WD,NEG,Low,WDFLP,17,0.0845
Fwy,WD,NEG,Low,WDFLP,18,0.0569
Fwy,WD,NEG,Low,WDFLP,19,0.0411
Fwy,WD,NEG,Low,WDFLP,20,0.0344
Fwy,WD,NEG,Low,WDFLP,21,0.0301
Fwy,WD,NEG,Low,WDFLP,22,0.0235
Fwy,WD,NEG,Low,WDFLP,23,0.0163
Fwy,WD,POS,Med,WDFMA,0,0.0073
Fwy,WD,POS,Med,WDFMA,1,0.0051
Fwy,WD,POS,Med,WDFMA,2,0.0044
Fwy,WD,POS,Med,WDFMA,3,0.0053
Fwy,WD,POS,Med,WDFMA,4,0.0116
Fwy,WD,POS,Med,WDFMA,5,0.035
Fwy,WD,POS,Med,WDFMA,6,0.0747
Fwy,WD,POS,Med,WDFMA,7,0.0876
Fwy,WD,POS,Med,WDFMA,8,0.0695
Fwy,WD,POS,Med,WDFMA,9,0.0535
Fwy,WD,POS,Med,WDFMA,10,0.0508
Fwy,WD,POS,Med,WDFMA,11,0.0527
Fwy,WD,POS,Med,WDFMA,12,0.0542
Fwy,WD,POS,Med,WDFMA,13,0.0564
Fwy,WD,POS,Med,WDFMA,14,0.061
Fwy,WD,POS,Med,WDFMA,15,0.0664
Fwy,WD,POS,Med,WDFMA,16,0.0679
Fwy,WD,POS,Med,WDFMA,17,0.0619
Fwy,WD,POS,Med,WDFMA,18,0.0476
Fwy,WD,POS,Med,WDFMA,19,0.0361
Fwy,WD,POS,Med,WDFMA,20,0.03
Fwy,WD,POS,Med,WDFMA,21,0.0268
Fwy,WD,POS,Med,WDFMA,22,0.0209
Fwy,WD,POS,Med,WDFMA,23,0.0133
Fwy,WD,NEG,Med,WDFMP,0,0.0095
Fwy,WD,NEG,Med,WDFMP,1,0.0062
Fwy,WD,NEG,Med,WDFMP,2,0.0048
Fwy,WD,NEG,Med,WDFMP,3,0.0047
Fwy,WD,NEG,Med,WDFMP,4,0.0082
Fwy,WD,NEG,Med,WDFMP,5,0.021
Fwy,WD,NEG,Med,WDFMP,6,0.0458
Fwy,WD,NEG,Med,WDFMP,7,0.0591
Fwy,WD,NEG,Med,WDFMP,8,0.0517
Fwy,WD,NEG,Med,WDFMP,9,0.0462
Fwy,WD,NEG,Med,WDFMP,10,0.0488
Fwy,WD,NEG,Med,WDFMP,11,0.0533
Fwy,WD,NEG,Med,WDFMP,12,0.0555
Fwy,WD,NEG,Med,WDFMP,13,0.059
Fwy,WD,NEG,Med,WDFMP,14,0.0687
Fwy,WD,NEG,Med,WDFMP,15,0.0822
Fwy,WD,NEG,Med,WDFMP,16,0.0891
Fwy,WD,NEG,Med,WDFMP,17,0.0792
